obs,price,Q_business,Q_leisure
234,43,1179,960
235,43,1192,1135
236,43,871,1153
237,43,1192,1215
238,43,964,1022
239,43,1146,1133
240,43,1133,1126
241,44,1148,1176
242,44,1026,1185
243,44,1135,942
244,44,1222,1184
245,44,1172,1008
246,44,1295,1175
247,44,1068,1137
248,44,1091,992
249,44,1229,1109
250,44,1217,973
251,45,1066,1145
252,45,1183,1034
253,45,1029,999
254,45,1154,977
255,45,1131,882
256,45,902,1138
257,45,939,1158
258,45,1209,1060
259,45,1118,1064
260,45,1038,1060
261,46,781,908
262,46,1163,1075
263,46,1320,1080
264,46,986,863
265,46,1096,1055
266,46,1179,943
267,46,1006,879
268,46,870,935
269,46,1247,980
270,46,1149,951
271,47,1156,963
272,47,1126,993
273,47,1001,1113
274,47,1078,1068
275,47,970,1045
276,47,1180,984
277,47,1050,746
278,47,848,818
279,47,1422,935
280,47,1097,961
281,48,1096,962
282,48,864,1109
283,48,1103,858
284,48,882,973
285,48,1053,1007
286,48,970,881
287,48,1049,1038
288,48,981,1045
289,48,962,957
290,48,997,933
291,49,1129,1033
292,49,1049,1004
293,49,969,941
294,49,963,891
295,49,915,984
296,49,980,1033
297,49,933,764
298,49,1074,888
299,49,928,898
300,49,866,939
301,50,955,863
302,50,1012,904
303,50,1144,674
304,50,947,951
305,50,922,875
306,50,969,772
307,50,1003,1002
308,50,914,753
309,50,1177,988
310,50,1048,827
311,51,1114,902
312,51,959,911
313,51,994,772
314,51,994,1023
315,51,1054,789
316,51,846,785
317,51,1125,805
318,51,885,961
319,51,1014,810
320,51,993,988
321,52,913,977
322,52,1122,926
323,52,901,837
324,52,904,877
325,52,889,816
326,52,981,984
327,52,1010,779
328,52,1069,698
329,52,928,680
330,52,986,712
331,53,990,904
332,53,804,934
333,53,1057,771
334,53,940,613
335,53,933,848
336,53,896,675
337,53,962,828
338,53,1055,863
339,53,791,896
340,53,925,866
341,54,1041,860
342,54,976,813
343,54,1114,820
344,54,935,630
345,54,916,938
346,54,905,883
347,54,1040,921
348,54,985,821
349,54,1291,745
350,54,1040,738
351,55,797,796
352,55,922,797
353,55,793,763
354,55,920,689
355,55,1104,570
356,55,874,741
357,55,826,571
358,55,799,790
359,55,747,603
360,55,764,766
361,56,856,666
362,56,974,760
363,56,1141,798
364,56,887,710
365,56,714,667
366,56,1018,701
367,56,914,656
368,56,818,762
369,56,979,680
370,56,729,800
371,57,841,667
372,57,845,729
373,57,921,565
374,57,902,721
375,57,730,960
376,57,893,733
377,57,846,721
378,57,1007,570
379,57,784,590
380,57,885,645
381,58,741,569
382,58,907,572
383,58,977,811
384,58,581,556
385,58,705,910
386,58,675,734
387,58,760,737
388,58,601,661
389,58,781,615
390,58,906,750
391,59,960,723
392,59,940,533
393,59,809,617
394,59,1014,531
395,59,831,617
396,59,929,560
397,59,885,536
398,59,856,628
399,59,885,592
400,59,959,586
401,60,741,578
402,60,643,662
403,60,787,641
404,60,841,651
405,60,581,613
406,60,921,715
407,60,864,457
408,60,750,338
409,60,914,476
410,60,688,707
411,61,828,439
412,61,753,575
413,61,743,551
414,61,728,509
415,61,885,426
416,61,713,695
417,61,922,730
418,61,750,558
419,61,821,517
420,61,741,573
421,62,875,692
422,62,1008,501
423,62,710,590
424,62,777,727
425,62,636,432
426,62,822,561
427,62,849,513
428,62,921,811
429,62,742,519
430,62,793,591
431,63,703,437
432,63,825,328
433,63,665,643
434,63,611,545
435,63,704,498
436,63,656,485
437,63,805,422
438,63,644,598
439,63,579,521
440,63,744,596
441,64,630,440
442,64,780,471
443,64,578,367
444,64,786,603
445,64,890,524
446,64,712,494
447,64,800,542
448,64,781,469
449,64,698,639
450,64,664,312
451,65,727,443
452,65,771,482
453,65,783,456
454,65,559,547
455,65,558,365
456,65,723,341
457,65,649,470
458,65,596,429
459,65,776,410
460,65,634,395
461,66,607,343
462,66,488,363
463,66,637,296
464,66,792,427
465,66,633,481
466,66,675,412
467,66,650,488
468,66,705,291
469,66,652,385
470,66,713,447
471,67,773,417
472,67,679,457
473,67,737,436
474,67,832,356
475,67,603,529
476,67,577,465
477,67,704,358
478,67,470,464
479,67,603,543
480,67,536,487
481,68,570,252
482,68,512,517
483,68,609,328
484,68,487,168
485,68,561,190
486,68,717,487
487,68,642,376
488,68,552,252
489,68,672,159
490,68,648,180
491,69,660,354
492,69,733,274
493,69,462,407
494,69,643,288
495,69,552,371
496,69,683,352
497,69,660,305
498,69,527,345
499,69,544,302
500,69,663,321
501,70,400,462
502,70,566,336
503,70,504,179
504,70,546,251
505,70,713,271
506,70,606,301
507,70,569,274
508,70,574,334
509,70,711,311
510,70,738,310
511,71,711,284
512,71,575,182
513,71,717,269
514,71,687,334
515,71,574,220
516,71,440,278
517,71,470,397
518,71,607,264
519,71,533,332
520,71,842,471
521,72,650,471
522,72,737,185
523,72,435,223
524,72,614,356
525,72,509,184
526,72,705,390
527,72,547,236
528,72,518,128
529,72,694,311
530,72,642,272
531,73,493,159
532,73,591,259
533,73,641,390
534,73,673,209
535,73,724,202
536,73,320,216
537,73,643,29
538,73,698,193
539,73,467,173
540,73,453,352
541,74,351,190
542,74,491,151
543,74,383,194
544,74,434,144
545,74,405,172
546,74,504,261
547,74,491,168
548,74,483,233
549,74,435,160
550,74,539,148
551,75,576,232
552,75,545,255
553,75,475,92
554,75,445,51
555,75,462,184
556,75,543,160
557,75,478,166
558,75,560,222
559,75,491,43
560,75,540,196
